,EMcrossnear,EMfracstdnear,EPstdnear,EMfracstdapproxnear,EPstdapproxnear,MMRstrengthnear,EMcrossfar,EMfracstdfar,EPstdfar,EMfracstdapproxfar,EPstdapproxfar,MMRstrengthfar,MEGNO,MEGNOstd,stable_in_short_integration
1350,0.16333173039035864,0.020136970350268422,2.754484985135126e-05,0.031989505887611305,4.2092519828904907e-05,0.08109172814605002,0.47160926482467463,0.007934819468046458,0.003651801825229563,0.007934819468046458,0.003651801825229563,,2.000873061823251,0.00021290769993226647,True
1351,0.16320373973316687,0.015453047891198338,0.0007317296983256045,0.023779916567295455,0.0007139861205178665,0.06964268708427677,0.47177044386407413,0.005911368836555319,0.0029130948538668507,0.005911368836555319,0.0029130948538668507,,2.0006041685273246,0.00033784178388850697,True
1352,0.16310970403173505,0.013702060473308394,0.000760835519978389,0.01381975351420546,0.0007345552369296874,0.06352833963122734,0.4717207033581157,0.008437064431818183,0.0016002697854072532,0.008437064431818183,0.0016002697854072532,,2.000319205776994,0.0003023536151414402,True
1353,0.16321541043753948,0.012587264140792613,0.00042546333880184184,0.012530674695992193,0.00041263493362936115,0.05696304555840671,0.47177623474133235,0.004654217135567616,0.003418715180619284,0.004654217135567616,0.003418715180619284,,2.0022248875474062,0.0008584076923969471,True
1354,0.16318545171878085,0.017499563565083236,0.0006667493387282729,0.02475633209812411,0.0006458485047841935,0.06911061356745449,0.4717525633893791,0.007982397406041633,0.0023495328079037197,0.007982397406041633,0.0023495328079037197,,2.0000638129831962,0.0003527262892552551,True
1355,0.16323355116221022,0.020107241614605195,0.001530229310382349,0.02453719480360027,0.001463614219131571,0.06811498663111615,0.4716984234564324,0.007460487711266152,0.003008527597475163,0.007460487711266152,0.003008527597475163,,2.4877737986913946,0.18922839531968208,True
1356,0.16315131017390336,0.013980582488833725,7.273688065821235e-05,0.015358018116379915,7.855332371774967e-05,0.06217872915978842,0.47181027709893963,0.006137014785948794,0.0032279385815428673,0.006137014785948794,0.0032279385815428673,,2.000798969415626,0.0002609682761744332,True
1357,0.16319544726530916,0.01722693889054835,0.0007818060651020617,0.02142699642195039,0.000750231648036733,0.06184390505782131,0.47158984255934283,0.008368115164548296,0.0028358453425671166,0.008368115164548296,0.0028358453425671166,,2.000247316729144,0.0002485734884673415,True
1358,0.1631960470930297,0.015658804526573533,6.481626079041803e-05,0.01664997206352193,7.492748527227368e-05,0.06082335545682052,0.47171566074489724,0.006699839004251164,0.003224301549356224,0.006699839004251164,0.003224301549356224,,1.9948190084784403,0.0026912617471521703,True
1359,0.1632348123483877,0.019594396941685965,0.0002754067001469517,0.02636643949278134,0.00026532736770050334,0.0689427864934129,0.47173720737105834,0.008343513840547639,0.003003193120495896,0.008343513840547639,0.003003193120495896,,4.286074843465762,0.6961513225985967,True
1360,0.16324377201881993,0.01122789501581327,0.0008759188394099879,0.020418981154164545,0.0008451544368450893,0.05715079972963053,0.471639391581461,0.005425292962685737,0.003452511235329266,0.005425292962685737,0.003452511235329266,,2.0353668794753492,0.025348520313135777,True
1361,0.16324093027667558,0.019427246214318863,0.000688890745675089,0.027807516956190912,0.0006630880237743641,0.07114715972733876,0.4717169079735203,0.010082962373223064,0.0025846605672702645,0.010082962373223064,0.0025846605672702645,,1.9942320334710704,0.0022782346296728135,True
1362,0.1633785249889224,0.020586818272718806,0.0003286638809589588,0.030988979633393577,0.00032232749708176493,0.0834505591084676,0.47156484398909493,0.00811950897970762,0.0030737089412996065,0.00811950897970762,0.0030737089412996065,,2.017047724326895,0.005202037324945955,True
1363,0.16324528138069638,0.01882942639961557,0.0006826101633789041,0.027822021989907395,0.0006577168569568294,0.07444187574570046,0.47169202110825953,0.008837250151616058,0.0030269675041051203,0.008837250151616058,0.0030269675041051203,,1.9990801033835484,0.00714694837855464,True
1364,0.16335214455227037,0.012181333492611116,0.0035303825831871217,0.013423556100255753,0.0034226720516295365,0.04962923430715614,0.4715860411898635,0.004381436230381439,0.0013505899253891662,0.004381436230381439,0.0013505899253891662,,1.9956352842152945,0.001231278497064889,True
1365,0.1631635374503423,0.01721135958376682,8.85109031248854e-05,0.020017008538694325,9.346593385141239e-05,0.06351421165406032,0.4716487070135634,0.006703864537555967,0.0029522110632034517,0.006703864537555967,0.0029522110632034517,,2.0002428292345815,0.0005702341399259978,True
1366,0.16318836112368662,0.018125942696091402,0.0009256754417094851,0.022841493222627463,0.0008930758444647858,0.06705065114249974,0.4716842309731324,0.008234975923784296,0.0024423676006167846,0.008234975923784296,0.0024423676006167846,,2.001113230013288,0.00038489082563171467,True
1367,0.16330773048167777,0.02044168563454916,0.0015172413347279206,0.031333424237426445,0.001466103043173011,0.08215763086071716,0.47166239321511777,0.01277265421825287,0.002680812161836844,0.01277265421825287,0.002680812161836844,,2.0078834442377884,0.00233604697946451,True
1368,0.16323987139748947,0.019216903737525336,0.00017510428429074606,0.028435804165541916,0.00017338104527551425,0.0769821836098342,0.47166546142006693,0.007110269711174673,0.002909463420988834,0.007110269711174673,0.002909463420988834,,1.9983983606548772,0.0008711205308947817,True
1369,0.16334676165239617,0.019012845733016245,0.0001641486631857267,0.026131322538782753,0.0001607879342699149,0.07033928301876562,0.4716565875225095,0.007160320798848908,0.003193438641896032,0.007160320798848908,0.003193438641896032,,2.6793847240722766,0.23405451605616104,True
1370,0.16322249386231877,0.020124455931911346,0.004738724679814632,0.02454761845044926,0.004537077010785906,0.06302505771381384,0.47167661729587496,0.01122417149537835,0.002004693163577613,0.01122417149537835,0.002004693163577613,,1.9475903234629475,0.006306327432622518,True
1371,0.16317041328811646,0.015544847451564137,0.00016736616391646266,0.017798372702997823,0.00016528731940517298,0.059357451146260135,0.47176582717839366,0.0072204005513512685,0.0017436100675028462,0.0072204005513512685,0.0017436100675028462,,2.001676692039692,0.00037976672172845084,True
1372,0.1632863680958645,0.01819784488660894,0.0014359720836599837,0.023265158140590502,0.0013804112013920625,0.06635382279231902,0.4715755830563054,0.009448551954735774,0.0021280101541587583,0.009448551954735774,0.0021280101541587583,,2.000557458557793,0.00015272266763285625,True
1373,0.16327907941881223,0.02004342917434112,0.0027066149049442185,0.030380943989991,0.002612472043227711,0.0803206704650034,0.4716463366870546,0.020023667865003744,0.0019446422651129417,0.020023667865003744,0.0019446422651129417,,1.9993960085081324,0.0006280757368338931,True
