,EMcrossnear,EMfracstdnear,EPstdnear,MMRstrengthnear,EMcrossfar,EMfracstdfar,EPstdfar,MMRstrengthfar,MEGNO,MEGNOstd
876,0.17845320454306463,0.0016214526244277144,6.662646796617649e-05,0.003042464723310135,0.23344585342439808,0.000519721338028426,6.913524774881304e-05,0.00860255137968313,2.0005021791558932,0.2223938475534675
877,0.1784532045430667,0.0021405758071752034,0.0002585763048771978,0.014662360884056435,0.23344585342439703,0.015360378211659044,0.0008175485796492958,0.003723689613029927,2.044069328226733,0.2240151274212198
878,0.17845320454306676,0.0008761977708946175,1.7648615300778052e-05,0.0029843309454904267,0.23344585342439694,0.0025245525458580335,0.000239847098535819,0.0018120101533388832,1.9995044850409602,0.22205788864480408
879,0.17845320454306524,0.0006583732287985576,0.00038543978065802873,0.002066139051100162,0.23344585342439766,0.0005349970310512314,4.684507179696626e-05,0.003670560173113477,2.0004804183352,0.2223218473489473
880,0.1784532045430655,0.0035291684369953328,0.0006978872704342359,0.023958971804212963,0.23344585342439755,0.017589650686840676,0.0038333427104828123,0.0038094455299195933,5.5586705095240285,1.3485856099527775
881,0.1784532045430668,0.10310755599709436,0.016205719291756106,0.012324577925021566,0.23344585342439408,0.021577165071189713,0.0018832018108340363,0.0183380258102036,32.97505785565251,10.80702314395189
882,0.17845320454306549,0.0007393695246455388,0.0002287869294620732,0.0006668185392435705,0.2334458534243975,0.00041475317261516133,7.772070443889602e-06,0.002538372883705748,2.0002860497529307,0.2223180660143794
883,0.17845320454306443,0.0012112837054739035,0.0005767837440260627,0.009185882908934573,0.23344585342439764,0.0005766208293609167,0.00028823789289729093,0.014021642298623856,1.9856858888239821,0.22062182687182452
884,0.17845320454306424,0.005308723220768743,0.0025423463177710244,0.011731436547263368,0.23344585342439864,0.0018227539184400925,0.00020703610243165548,0.01434041197785339,1.6385025681263352,0.24081090179997988
885,0.17845320454306593,0.04921480502634378,0.0025821811041195366,0.020598283345471258,0.2334458534243985,0.10372336482749542,0.00810170812934128,0.013994765158573345,61.65658926330313,19.66737262995208
886,0.17845320454306443,0.11421250878632125,0.009011030719538642,0.020144535009676588,0.23344585342439664,0.05241285129848218,0.004807020822674222,0.035367886890318216,160.21786691742784,51.34055778005507
